Date,Booking_status,level_3,level_4,level_5,level_6,JourneyDate,BookingStatus,TrainNo,ClassOfTravel,ChartingStatus
2017-01-13,W/L,0,"42,TQ	*12864	",SL	W/L,0,0,18,0.0,0,0.0
2017-01-13,W/L,0,0,"5,TQ	*12864	",2A	WL,0,0,0.0,0,0.0
2017-01-13,W/L,"109,TQ	*12864	",SL	WL,0,0,0,0,0.0,0,0.0
2017-01-13,W/L,0,"38,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-01-13,W/L,0,"20,TQ	*12864	",SL	W/L,0,0,0,1.0,0,0.0
2017-01-13,W/L,0,"67,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-01-13,W/L,0,0,"7,TQ	*12864	",SL	S12,",",0,4.0,0,0.0
2017-01-13,W/L,0,"90,TQ	*12864	",SL	W/L,0,0,36,0.0,0,0.0
2017-01-13,W/L,0,0,"7,TQ	*12864	",SL	WL,0,0,0.0,0,0.0
2017-01-15,W/L,0,0,"1,TQ	*12864	",3A	WL,0,0,0.0,0,0.0
2017-01-14,W/L,0,"13,TQ	*12864	",3A	WL,0,0,0,0.0,0,0.0
2017-01-14,W/L,0,0,"5,TQ	*12864	",SL	S10,",",40,0.0,0,0.0
2017-01-15,W/L,0,"13,TQ	*12864	",SL	S7,0,",",33,0.0,0,0.0
2017-01-13,W/L,0,"28,TQ	*12864	",SL	W/L,0,0,0,8.0,0,0.0
2017-01-14,W/L,0,"34,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-01-14,W/L,0,"46,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-01-14,W/L,0,"47,TQ	*12864	",SL	W/L,0,0,19,0.0,0,0.0
2017-01-14,W/L,0,0,"3,TQ	*12864	",SL	W/L,0,0,0.0,1,0.0
2017-01-15,W/L,0,"17,TQ	*12864	",SL	W/L,0,0,0,3.0,0,0.0
2017-01-16,W/L,0,0,"6,TQ	*12864	",SL	WL,0,0,0.0,0,0.0
2017-01-14,W/L,0,"30,TQ	*12864	",SL	W/L,0,0,12,0.0,0,0.0
2017-01-16,W/L,0,"33,TQ	*12864	",SL	W/L,0,0,18,0.0,0,0.0
2017-01-16,W/L,0,0,"7,TQ	*12864	",SL	W/L,0,0,0.0,4,0.0
2017-01-16,W/L,0,"14,TQ	*12864	",SL	W/L,0,0,0,9.0,0,0.0
2017-01-15,W/L,0,"10,TQ	*12864	",SL	W/L,0,0,0,2.0,0,0.0
2017-01-16,W/L,0,0,"8,TQ	*12864	",SL	W/L,0,0,0.0,7,0.0
2017-01-16,W/L,0,0,"7,TQ	*12864	",SL	W/L,0,0,0.0,2,0.0
2017-01-16,W/L,0,"59,TQ	*12864	",SL	W/L,0,0,35,0.0,0,0.0
2017-01-16,W/L,0,0,"5,TQ	*12864	",3A	B2,0,",",13.0,0,0.0
2017-01-17,W/L,0,"10,TQ	*12864	",3A	B2,0,",",0,8.0,0,0.0
2017-01-17,W/L,0,"40,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-01-18,W/L,0,"30,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-01-19,W/L,0,0,"5,TQ	*12864	",SL	WL,0,0,0.0,0,0.0
2017-01-18,W/L,0,"35,TQ	*12864	",SL	W/L,0,0,12,0.0,0,0.0
